title;author;isbn13;format;publisher;pages;dimensions;overview
Why Freedom Matters: The Spirit of the Declaration of Independence in Prose, Poetry, and Song from 1776 to the Present;Daniel Katz;9780761131656;Paperback;Workman Publishing Company, Inc.;400;6.00 (w) x 9.00 (h) x 1.09 (d);"<br> Freedom. It's an idea worth pledging a life for, in the words of Thomas Jefferson. A gift outright to the poet Robert Frost. A difficult responsibility, writes Frederick Douglass. Defiant and enduring, for Maya Angelou. Quarrelsome, to Kurt Vonnegut. Open-armed and welcoming-Emma Lazarus. <p>Why Freedom Matters celebrates freedom in over 100 speeches, letters, essays, poems, and songs, all infused with the spirit of democracy. Here are the voices of presidents and slaves, founding fathers and hip-hop artists, suffragettes, civil rights workers, preachers, labor leaders, and baseball players. Inspired by the Declaration of Independence, the book is published in conjunction with The Declaration of Independence Road Trip, a 31/2-year cross-country educational tour of an extremely rare, original hand-printed copy of the Declaration, bought at auction by Norman Lear. The DOI Road Trip's mission is to energize Americans by bringing our founding document to towns small and large across the country; in 2003, for example, the Declaration and its accompanying exhibit will visit 27 cities from Birmingham to Billings, New Orleans to New York. Like the document itself, this compelling anthology reveals America's soul as it wrestles with questions of life, liberty, and the pursuit of happiness, and strives to fulfill the ideals of Thomas Jefferson's words.</p>"
The Best American Short Plays 2006-2007;Barbara Parisi;9781557837479;Hardcover;Applause Theatre Book Publishers;;;
Forced Passages: Imprisoned Radical Intellectuals and the U.S. Prison Regime;Dylan Rodriguez;9780816645619;Paperback;University of Minnesota Press;288;5.88 (w) x 9.00 (h) x 0.80 (d);"<p>More than two million people are currently imprisoned in the United States, and the nation’s incarceration rate is now the highest in the world. The dramatic rise and consolidation of America’s prison system has devastated lives and communities. But it has also transformed prisons into primary sites of radical political discourse and resistance as they have become home to a growing number of writers, activists, poets, educators, and other intellectuals who offer radical critiques of American society both within and beyond the prison walls.&nbsp;</p> <p>In <i>Forced Passages</i>, Dylan Rodríguez argues that the cultural production of such imprisoned intellectuals as Mumia Abu-Jamal, Angela Davis, Leonard Peltier, George Jackson, José Solis Jordan, Ramsey Muniz, Viet Mike Ngo, and Marilyn Buck should be understood as a social and intellectual movement in and of itself, unique in context and substance. Rodríguez engages with a wide range of texts, including correspondence, memoirs, essays, poetry, communiqués, visual art, and legal writing, drawing on published works by widely recognized figures and by individuals outside the public’s field of political vision or concern. Throughout, Rodríguez focuses on the conditions under which imprisoned intellectuals live and work, and he explores how incarceration shapes the ways in which insurgent knowledge is created, disseminated, and received.&nbsp;</p> <p>More than a series of close readings of prison literature, <i>Forced Passages</i> identifies and traces the discrete lineage of radical prison thought since the 1970s, one formed by the logic of state violence and by the endemic racism of the criminal justice system.&nbsp;</p> <p>Dylan Rodríguez is assistant professor of ethnic studies at the University of California, Riverside.</p>"
Selected Works;Ralph Waldo Emerson;9780395980750;Paperback;Cengage Learning;504;5.58 (w) x 8.20 (h) x 0.73 (d);<p>The first book of its kind to pair the writings of Emerson and Fuller, this text plays a major role in illuminating the contributions of both men and women to American Transcendentalism. In addition to a generous selection of Emerson's essays, the complete text of Margaret Fuller's Woman in the Nineteenth Century, and a selection of Fuller's dispatches from Europe, the volume contains copious contextualizing footnotes and an excellent introduction. Readers also explore the struggles of both writers to change their views in response to political changes of the times.</p>
Getting Home Alive;Aurora Levins Morales;9780932379191;Paperback;Firebrand Books;213;5.50 (w) x 8.40 (h) x 0.60 (d);The authors are mother and daughter, feminists, radicals, Puerto Rican and American, Jewish. In this collection of essays, poems, and stories, they write about their search for identity, about growing up Jewish in a Catholic world, about their response to the Israeli invasion of Lebanon, and other subjects.
Twentieth-Century American Poetry;Dana Gioia;9780072400199;Paperback;McGraw-Hill Companies, The;;;
Plays and Playwrights 2009;Martin Denton;9780979485220;Paperback;New York Theatre Experience, Incorporated, The;384;5.40 (w) x 8.20 (h) x 0.90 (d);"<i>Plays and Playwrights 2009</i> is the tenth volume in our yearly series of anthologies of new plays by emerging playwrights. This volume contains the complete script of 11 plays, author bios, permission information, author notes, and a detailed Introduction by the editor, Martin Denton. Included are: <p>HOSPITAL 2008 by Randy Sharp and Axis Company<br> A four-part serial play that explores the unconscious memories of a man in a coma.</p> <p>LINUS &amp; ALORA by Andrew Irons<br> A whimsical and poetical exploration of the powers of imagination: a lot can happen in nine months.</p> <p>SISTER CITIES by Colette Freedman<br> Four sisters reunite following their mother's alleged suicide in this surprising and incisive comedy.</p> <p>S/HE by Nanna Nick Mwaluko<br> The journey from Samantha to Sam: a young African American biological female struggles with gender and becomes a man.</p> <p>DEATH AT FILM FORUM by Eric Bland<br> Aspiring filmmaker/auteurs compete a la <i>Project Runway</i> in this very funny mixed media satirical drama.</p> <p>TRACES/fades by Lenora Champagne<br> A meditation on Alzheimer's and our national inability to remember history.</p> <p>NOWHERE ON THE BORDER by Carlos Lacamara<br> A timely drama about a Mexican father searching the Arizona desert for his missing daughter, and the American Minuteman who detains him.</p> <p>AMERICAN BADASS, OR 12 CHARACTERS IN SEARCH OF A NATIONAL IDENTITY by Chris Harcum<br> In a dozen monologues, a look at who we are in 2008 and how we may have gotten that way.</p> <p>A FIRE AS BRIGHT AS HEAVEN by Tim Collins<br> An epic solo tour de force chronicling the past seven years of American upheaval.</p> <p>CONVERSATION STORM by Rick Burkhardt<br> A mind-blowing exercise in thejustification of torture, in a taut, concise, single act.</p> <p>KRAPP, 39 by Michael Laurence<br> Haunted by Beckett's Krapp, a 39-year-old actor throws himself a birthday party in this deeply personal solo play about the last moments of youth.</p>"
Through the Eye of the Deer: An Anthology of Native American Women Writers;Carolyn Dunn;9781879960589;Paperback;Aunt Lute Books;284;6.00 (w) x 9.00 (h) x 0.60 (d);By bringing together the voices of Native American women writers across time, regions, and tribes, this collection makes visible a dynamic tradition of women's wisdom and storytelling. From early legends to present-day fiction and poetry, this tradition emphasizes women's spiritual connection to the natural world and their contributions to tribal and familial community. Central to women's strength is the role of animal figures-Coyote, Owl, Beaver and Bear-who act as guides, helpers, and personal totems, appearing unexpectedly in the modern urban landscape as well as being a constant presence in nature. <p>The work of more than forty authors appears in this volume, representing tribes and regions extending over most of the U.S. and parts of Canada. Among the authors included are Louise Erdrich, Joy Harjo, Leslie Marmon Silko, Paula Gunn Allen, Linda Hogan and Beth Brant, along with writers whose work appears here for the first time.</p>
Asian American Studies: A Reader;Jean Yu-wen Shen Wu;9780813527260;Paperback;Rutgers University Press;600;6.99 (w) x 9.94 (h) x 1.35 (d);"<p>This anthology is the perfect introduction to Asian American studies, as it both defines the field across disciplines and illuminates the centrality of the experience of Americans of South Asian, East Asian, Southeast Asian, and Filipino ancestry to the study of American culture, history, politics, and society.</p> <p>The reader is organized into two parts: ""The Documented Past"" and ""Social Issues and Literature."" Within these broad divisions, the subjects covered include Chinatown stories, nativist reactions, exclusionism, citizenship, immigration, community growth, Asia American ethnicities, racial discourse and the Civil Rights movement, transnationalism, gender, refugees, anti-Asian American violence, legal battles, class polarization, and many more.</p> <p>Among the contributors are such noted scholars as Gary Okihiro, Michael Omi, Yen Le Espiritu, Lisa Lowe, and Ronald Takaki; writers such as Sui Sin Far, Bienvenido Santos, Sigrid Nunez, and R. Zamora Linmark, as well as younger, emerging scholars in the field.</p>"
Latinos in Lotusland: An Anthology of Contemporary Southern California Literature;Daniel A. Olivas;9781931010474;Paperback;Bilingual Review/Press;;;
Daughters Of Decadence;Elaine Showalter;9780813520186;Paperback;Rutgers University Press;352;5.00 (w) x 8.00 (h) x 0.78 (d);"At the turn of the century, short stories by--and often about--""New Women"" flooded the pages English and American magazines such as the Atlantic Monthly, Harpers, and the Yellow Book. This daring new fiction, often innovative in form and courageous in its candid representations of female sexuality, marital discontent, and feminist protest, shocked Victorian critics, who denounced the authors as ""literary degenerates"" or ""erotomaniacs."" <p>This collection brings together twenty of the most original and important stories from this period. The writers included in this highly readable volume are Kate Chopin, Victoria Cross, George Egerton, Julia Constance Fletcher, Charlotte Perkins Gilman, Sarah Grand, Vernon Lee, Ada Leverson, Charlotte Mew, Olive Schreiner, Edith Wharton, Constance Fenimore Woolson, and Mabel E. Wotton.</p> <p>As Elaine Showalter shows in her introduction, the short fiction of the Fin-de-Siecle is the missing link between the Golden Age of Victorian women writers and the new era of feminist modernism.</p> <p>Elaine Showalter is a professor of English at Princeton University. She is the author of A Literature of Their Own, The Female Malady, and other books, and editor of Alternative Alcott, a volume in the American Women Writers Series (Rutgers University Press).</p>"
American Tradition in Literature : With American Ariel, Vol. 2;George Perkins;9780073221533;Hardcover;McGraw-Hill Companies, The;;6.10 (w) x 9.10 (h) x 2.00 (d);
Best American Nonrequired Reading 2005;Dave Eggers;9780618570485;Paperback;Houghton Mifflin Harcourt;370;5.50 (w) x 8.50 (h) x 0.82 (d);"<p>The Best American Series First, Best, and Best-Selling</p> <p>The Best American series has been the premier annual showcase for the country's finest short fiction and nonfiction since 1915. For each volume, the very best pieces are selected by a leading writer in the field, making the Best American series the most respected—and most popular—of its kind.</p> <p>The Best American Nonrequired Reading 2005 includes</p> <p>Daniel Alarcón • Aimee Bender • Dan Chaon • Daniel Clowes • Tish Durkin • Stephen Elliott • Al Franken • Jhumpa Lahiri • Rattawut Lapcharoensap • Anders Nilsen • Georges Saunders • William T. Vollmann • and others</p> <p>Dave Eggers, editor, is the author of A Heartbreaking Work of Staggering Genius, You Shall Know Our Velocity!, and How We Are Hungry, and the editor of McSweeney's. He is the founder of 826 Valencia, a San Francisco writing lab for young people.</p> <p>Beck, guest introducer, whose single ""Loser"" was instantly labeled an anthem for the slacker generation, is also known for his Grammy Award-winning albums Odelay and Mutations.</p>"
Sister Nations: Native American Women Writing on Community;Heid E. Erdrich;9780873514286;Paperback;Minnesota Historical Society Press;230;5.62 (w) x 8.50 (h) x 0.80 (d);This lively and accessible anthology of fiction, prose, and poetry celebrates the rich diversity of writing by Native American women today. Editors Heid E. Erdrich and Laura Tohe have gathered stories from across the nation that celebrate, record, and explore Native American women's roles in community. The end result is a rich and heartfelt tapestry that contains work by established writers along with emerging and first-time authors.
Asian-American Literature: A Brief Introduction and Anthology;Shawn Wong;9780673469779;Paperback;Longman;400;6.30 (w) x 9.10 (h) x 1.10 (d);A historical overview introduces a selection of works by Hisaye Yamamoto, Bharati Mukherjee, Jessica Hagedorn, Cathy Song, Marilyn Chin, Woo Ping Chin, Yelina Hasu Houston, and others.
Black Silk: A Collection of African-American Erotica;Retha Powers;9780446676915;Paperback;Hachette Book Group;356;5.00 (w) x 8.00 (h) x 0.79 (d);<p>Black Silk is filled with lush, sexy stories featuring heroines who are overwhelmingly in control of their love lives and unabashed about their libidinous appetites. The stories are written by the best Black American erotic authors.</p>
The Best Plays Theater Yearbook 2007-2008;Jeffrey Eric Jenkins;9780879103668;Hardcover;Limelight Editions;650;6.60 (w) x 9.40 (h) x 1.70 (d);"<p>(Best Plays Theater Yearbook). Continuing a tradition that dates back to 1920, this beloved annual honors 10 new plays and musicals and three regional plays cited in the Harold and Mimi Steinberg New Play Awards and Citations competition. As always, The Best Plays Theater Yearbook includes a comprehensive collection of facts and figures about the year in United States theatre. The Best Plays of 2007-2008 were chosen from Broadway, Off-Broadway, and Off-Off-Broadway productions of new plays that opened between June 1, 2007 and May 31, 2008. Individual essays celebrate each work. The plays are: Adding Machine , by Jason Loewith and Joshua Schmidt; August: Osage County , by Tracy Letts; The Farnsworth Invention , by Aaron Sorkin; Dividing the Estate , by Horton Foote; Eurydice , by Sarah Ruhl; 100 Saints You Should Know , by Kate Fodor; The Receptionist , by Adam Bock; Rock 'n' Roll , by Tom Stoppard; The Seafarer , by Conor McPherson; Yellow Face , by David Henry Hwang. SPECIAL CITATION: Peter and Jerry , by Edward Albee.</p>"
Damage Control: Women on the Therapists, Beauticians, and Trainers Who Navigate Their Bodies;Emma Forrest;9780061175350;Paperback;HarperCollins Publishers;304;5.31 (w) x 8.00 (h) x 0.68 (d);<p>Traditionally, women share their secrets with their hairdressers. But what about their manicurists, masseurs, chi gong teachers, and tattoo artists? In <b>Damage Control</b>, women wax poetic about the experts and gurus who help them love themselves, sharing stories of everything from friendships born in the make-up chair to the utter dismay of a truly horrible haircut.</p> <p>Minnie Driver finally meets a Frenchman who understands her hair . . . and tries to teach her not to hate it.</p> <p>Marian Keyes remembers the blow-dry that pushed her over the edge.</p> <p>Francesca Lia Block tells the ugly story of the plastic surgeon who promised to make her beautiful.</p> <p>Rose McGowan explains why it's harder to be depressed when you're glamorous . . . and shows how it takes a village to transform from mere mortal to movie star.</p> <p>Witty and wise, <b>Damage Control</b> is an intimate, sometimes dark, look at our experiences with the professionals who pluck, prod, and pamper every inch of our bodies—and a reminder why we surrender ourselves to their (hopefully) very capable hands.</p>
The Prentice Hall Anthology of Latino Literature;Eduardo del Rio;9780130266873;Hardcover;Prentice Hall;544;6.70 (w) x 8.90 (h) x 1.10 (d);"<p><b>THE PRENTICE HALL ANTHOLOGY OF LATINO LITERATURE</b> is a collection of poetry and prose (short story and drama) by Latino authors of Mexican-American, Cuban-American, and Puerto Rican-American descent. The text focuses on Latino authors who were either born or raised in the United States and who write primarily in English. In this walk the text concentrates on works and authors who hove been forged fly a dual consciousness.</p> <p>The text establishes its definition of the Latino/Latina author by using the following criteria: first, writers who can trace their ancestry to Spanish-speaking nations of the Americas; second, works produced by authors who have lived in the United States for a significant period of time; third, writers who come from one of the three groups that form the majority in population and literary production of Latino literature; and last, writers with a sense of duality regarding the English language. The text features readings with characteristics unique to Latino/Latina authors such as attention to family, a concern for home, a focus on cultural components such as music, food, and religion, and identity formation.</p> <p><b>The text includes the following features:</b></p> <ul> <li>32 readings/short stories, 38 poems and 9 plays by renowned writers such as Sandra Cisneros, Luis Valdez, Cristina Garcia, Oscar Hijuelos, Judith Ortiz Cofer, and Esmeralda Santiago that emphasize diversity as well as recurring themes.</li> <li>Various exercises designed to explore style and comprehension as well as to compare and contrast the selections from different ethnic groups.</li> <li>Brief survey of the three types of literature focused on in the text to provide further background of the culture.</li> <li>Categorisation by both ethnic group and genre which allows teachers to focus on any or all components.</li> <li>Glossary of Spanish terms for some of the more challenging plays.</li> </ul> <p>Overall, the text emphasizes the similarities and differences between the culture and literature of the three primary groups while also trying to emphasize the unique qualities and universal themes present in all of them.</p>"
The Norton Book of American Autobiography;Jay Parini;9780393046779;Hardcover;Norton, W. W. & Company, Inc.;711;6.00 (w) x 9.30 (h) x 1.60 (d);"From Mary Rowlandson's story of her capture by Indians in the mid-seventeenth century to Mary Paik Lee's story of being a pioneer Korean woman in America at the beginning of the twentieth century, the autobiographical form has provided our most vivid, intimate glimpses of daily American life and self-understanding. <p>In this groundbreaking anthology, respected writer and critic Jay Parini brings together an abundant selection from over three centuries of ""the democratic voice . . . discovering itself."" Here are the voices of the Founding Fathers and African American slaves; of transcendentalists and suffragists; of ancestors such as Frederick Douglass, Harriet Jacobs, Mark Twain, Henry James, Helen Keller, Zora Neale Hurston, Gertrude Stein, Ernest Hemingway, James Baldwin, and many others; and of a wide range of contemporaries, including Maxine Hong Kingston, Gore Vidal, Julia Alvarez, and Mark Doty.</p> <p>The rich, continuous influence of autobiographical writing in our culture is clear, and as memoirs continue to fascinate readers, this invaluable anthology provides an essential guide to our foremost American literary tradition.</p>"
New Playwrights: The Best Plays of 2000;D. L. Lepidus;9781575252490;Paperback;Smith & Kraus, Inc.;311;52.50 (w) x 82.50 (h) x 7.50 (d);
Xerophilia: Ecocritical Explorations in Southwestern Literature;Tom Lynch;9780896726383;Hardcover;Texas Tech University Press;264;6.20 (w) x 8.30 (h) x 1.10 (d);<p>The arid American Southwest is host to numerous organisms described as desert-loving, or xerophilous. Extending this term to include the region’s writers and the works that mirror their love of desert places, Tom Lynch presents the first systematically ecocritical study of its multicultural literature. By revaluing nature and by shifting literary analysis from an anthropocentric focus to an ecocentric one, Xerophilia demonstrates how a bioregional orientation opens new ways of thinking about the relationship between literature and place. Applying such diverse approaches as environmental justice theory, phenomenology, border studies, ethnography, entomology, conservation biology, environmental history, and ecoaesthetics, Lynch demonstrates how a rooted literature can be symbiotic with the world that enables and sustains it. Analyzing works in a variety of genres by writers such as Leslie Marmon Silko, Terry Tempest Williams, Edward Abbey, Ray Gonzales, Charles Bowden, Susan Tweit, Gary Paul Nabhan, Pat Mora, Ann Zwinger, and Janice Emily Bowers, this study reveals how southwestern writers, in their powerful role as community storytellers, contribute to a sustainable bioregional culture that persuades inhabitants to live imaginatively, intellectually, and morally in the arid bioregions of the American Southwest.</p>
The New Anthology of American Poetry: Volume I: Traditions and Revolutions, Beginnings to 1900;Steven Gould Axelrod;9780813531625;Paperback;Rutgers University Press;768;6.10 (w) x 9.20 (h) x 1.40 (d);"<p>When completed, this three-volume anthology will be the most balanced, inclusive, and comprehensive anthology of American poetry ever published. <i>The New Anthology of American Poetry</i> is designed to become the standard text for college courses in American poetry, and it will also appeal to general readers who wish to explore the range and diversity of this literary form.</p> <p>The series demonstrates how a succession of canons of American poetry have evolved, with certain poets silenced until the present day, while others who emerged and then faded are now ready to be retrieved. Readers will find more attention devoted to women poets and to artists from African American, Asian American, Latino, and Native American cultures than in any previous anthology. Readers will also encounter an extremely solid presentation of long-established writers. The anthology offers not just a unique and teachable selection of poets and poems, but also concise introductions to periods and styles, brief bibliographies of key primary and secondary texts, and critical selections on the art of poetry by the anthologized poets themselves.</p> <p class=""null1"">VOLUME I: Traditions and Revolutions, Beginnings to 1900</p> <p>Volume I begins with a generous selection of Native American materials, then spans the years from the establishment of the American colonies to about 1900, a world on the brink of World War I and the modern era. Part One focuses on poetry from the very beginnings through the end of the eighteenth century. The expansion and development of a newly forged nation engendered new kinds of poetry. Part Two includes works from the early nineteenth century through the time of the Civil War. The poems in Part Three reflect the many issues affecting a nation undergoing tumultuous change: the Civil War, immigration, urbanization, industrialization, and cultural diversification.</p> <p>Such well-recognized names as Anne Bradstreet, Edward Taylor, Phillis Wheatley, Edgar Allan Poe, Herman Melville, Walt Whitman, Emily Dickinson, and Stephen Crane appear in this anthology alongside such less frequently anthologized poets as George Horton, Sarah Helen Whitman, Elizabeth Oakes-Smith, Frances Harper, Rose Terry Cooke, Helen Hunt Jackson, Adah Menken, Sarah Piatt, Ina Coolbrith, Emma Lazarus, Albery Whitman, Owl Woman (Juana Manwell) Sadakichi Hartmann, Ernest Fenollosa, James Weldon Johnson, Paul Laurence Dunbar, and—virtually unknown as a poet—Abraham Lincoln. It also includes poems and songs reflecting the experiences of a variety of racial and ethnic groups.</p>"
Contemporary U. S. Latino a Literary Criticism;Lyn Di Iorio Sandin;9781403979995;Hardcover;Palgrave Macmillan;304;5.50 (w) x 8.50 (h) x 0.81 (d);"<p>This is the first inter-group and gender inclusive collection of scholarship in U.S. Latino literary criticism that begins with the assumption that the literature written by U.S. Latinos is as important an object of scholarship as U.S. Latino/a history, sociology, and culture, fields that have dominated previous inter-group anthologies. Some of the most important and insightful Latino and Latin<b>a</b> literary scholars in the field write on authors from the four major Latino/a groups— Cuban American, Dominican American, Mexican American, and Puerto Rican American. The anthology evaluates the state of U.S. Latino/a literary study and projects a vision of that study for the twenty-first century. This book is divided into four major areas of literary inquiry: analyses of the psychic relations between the Latino/a subject and its mimetic others; explorations of the complexities of race and Afro-Latino/a poetics; studies of the representation of labor in the Latino/a literary imagination; and genealogical and archival assessment of U.S. Latino literature’s relationship with America<b>n</b>, Caribbean, and Latin American literatures and histories.</p>"
Brother to Brother: New Writings by Black Gay Men;Essex Hemphill;9780978625115;Paperback;Small Pr Distribution;389;5.50 (w) x 8.50 (h) x 1.30 (d);"<br> Literary Nonfiction. African American Studies. LGBT Studies. BROTHER TO BROTHER, begun by Joseph Beam and completed by Essex Hemphill after Beam's death in 1988, is a collection of now-classic literary work by black gay male writers. Originally published in 1991 and out of print for several years, BROTHER TO BROTHER ""is a community of voices,"" Hemphill writes. ""[It] tells a story that laughs and cries and sings and celebrates...it's a conversation intimate friends share for hours. These are truly words mined syllable by syllable from the harts of black gay men. You're invited to listen in because you're family, and these aren't secrets-not to us, so why should they be secrets to you? Just listen. Your brother is speaking."" This new edition includes an introduction by Jafari Allen."
The New World Border: Prophecies, Poems, and Loqueras for the End of the Century;Guillermo Gomez-Pena;9780872863132;Hardcover;City Lights Books;244;6.00 (w) x 8.00 (h) x 0.60 (d);"<p>Poetry. Latin American Studies. THE NEW WORLD BORDER is a new collection of essays, poems, and performance text through which Gomez-Pena muses on matters of race, nationality, language, and identity. The book is a carnivalesque inversion of ethnic and geo-political ideology, a disorienting free-fall into the space between cultures, and a head-on collision with real and imagined borders. Gomez-Pena won international acclaim for his efforts to create a hybrid culture and articulate a borderless ethos, and has been called an intercultural interpreter, reverse anthropologist, experimental linguist, and political artist of the first order. The Village Voice proclaims ""In everything he does, he remains an indomitably playful phrasemaker; a fertile rethinker of contradictions, clichés, and conundrums; and an inspiring recruiter for a playground army of cultural pluralists"".</p>"
Literatura Chicana, 1965-1995: An Anthology in Spanish, English, and Calo, Vol. 191;Garland;9780815320807;Paperback;Routledge;520;5.50 (w) x 8.50 (h) x 1.05 (d);"<b>Illuminates major themes and artistic visions</b><br> The only comprehensive anthology of Chicano literature, this work charts the rise and evolution of contemporary Mexican American writing in the context of its major themes: the search for identity, feminism, conservatism, revisionism, homoeroticism, and internationalism. These are the symbolic lenses that through language have focused on the artistic visions that since the mid-l960s have earned Chicano literary works national and international prizes and critical acclaim.<br> <br> <b>Includes</b> <b>selections from the best writers</b><br> The texts presented in this anthology include late-19th and early 20th-century ""oppositional"" writings, as well as works with dominant rural or urban settings. The selections include three of the five writers-Gloria Anzald(oe)a, Lorna Dee Cervantes, and Luis Valdez-whose work has been included by the College Board in the Recommended Reading List for the Advanced Placement Exam of the Educational Testing Service. Comprising eight essays, sixteen short stories, thirty poems, three plays, and two complete novels, the collection is meant not only for a new generation of Chicana/o students but also for general Anglo-American, Latin American, and Peninsular readers.<br> <br> <b>Special Features</b><br> Represents every major figure in the development of Chicano literature. * Emphasizes the place of Chicano literature in the broader Hispanic tradition. * Provides both Spanish and English texts. * Details historical and cultural references for contemporary readers. * Explains little-known colloquial and regional uses of Spanish. * Several authors have revised their texts especially for thisedition.<br> <br> <b>Suitable</b> <b>for Courses in:</b> Literature (in English and Spanish): Chicano Literature; Ethnic American Literature; Contemporary American Literature; Literature by American Women; Literature in Spanish by Women; Literature of the American West"
So Fey;Steve Berman;9781590212288;Paperback;Lethe Press;348;6.00 (w) x 9.00 (h) x 0.78 (d);"The legends of Fairyland tell that one should never taste the food or sip the drink, or else risk being caught there forever. But the tempting morsels in So Fey are irresistible! Lambda Award-finalist editor Steve Berman brings together acclaimed fantasy writers with some of the brightest names in speculative and LGBT fiction to create tales that are moving and magical. These stories of romance and grief, adolescence and identity, struggle and hope will enchant readers who long for a fantastic escape--and a wonderful twist! One sample of this bewitching treat is sure to trap you in its pages! <p>From the pains of loss in Holly Black's ""The Coat of Stars"" to dealing with issues of identity in Richard Bowes's ""The Wand's Boy"" to Melissa Scott's look at the dangers of love in ""Mister Seeley"" So Fey: Queer Fairy Fiction takes you into worlds that are at once amazing and familiar. With tales that tear and tug at the heart but never cease to enchant, this exciting and unique collection of 22 stories will last long in the minds of readers.</p>"
Imagined Transnationalism: U. S. Latino/A Literature, Culture, and Identity;Kevin Concannon;9780230606326;Hardcover;Palgrave Macmillan;272;5.70 (w) x 8.30 (h) x 0.80 (d);"<p>With its focus on Latino and Latina communities in the United States,&nbsp;this book&nbsp;investigates narrative and aesthetic strategies that are employed to represent transnational experiences in literary and cultural texts. Specifically concerned with how real and imagined movements between Latin American countries and the U.S. generate diverse conceptualizations of nationalism and transnationalism, this collection explores notions of identity, citizenship, and belonging in the past, present, and future.</p>"
Literature and Aging: An Anthology;Martin Kohn;9780873384667;Paperback;Kent State University Press;456;6.25 (w) x 9.18 (h) x 1.13 (d);
Salaam. Peace: An Anthology of Middle Eastern-American Drama;Holly Hill;9781559363327;Paperback;Theatre Communications Group;400;6.00 (w) x 8.90 (h) x 1.20 (d);"<p>This groundbreaking anthology is a collection of new plays by American writers of a variety of Middle Eastern backgrounds, from artists born in Egypt and Iran, to Israeli and Palestinian Americans. These plays—written in a diversity of theatrical styles ranging from lyrical drama to satiric comedy—are personal and political, fresh and important. They represent artists negotiating the complexities of Middle Eastern identity in America, while dealing with the ravages of war and violence in their families’ homelands.</p> <p>Included are:</p> <p><i>Ten Acrobats in an Amazing Leap of Faith</i> by Yussef el-Guindi<br> <i>Between Our Lips</i> by Nathalie Handal<br> <i>Nine Parts of Desire</i> by Heather Raffo<br> <i>The Black Eyed</i> by Betty Shamieh<br> <i>Call Me Mehdi</i> by Torange Yeghiazarian<br> <i>Browntown</i> by Samir Younis<br> <i>Desert Sunrise</i> by Misha Shulman</p> <p><b>Holly Hill</b> is the author of <i>Playing Joan</i> and <i>Actors’ Lives</i>, published by Theatre Communications Group. A critic and feature writer published widely in the United States and United Kingdom, Hill was the former New York theater correspondent for <i>The Times</i> of London and the director of the Arabic Theater Project from 1997 to 2000.</p> <p><b>Dina Amin</b> is the assistant professor of Arab Literature &amp; Culture and Theatre at Villanova University. She directs in the United States and Egypt, in Arabic and English. Amin has published in major academic journals and has translated a number of Arabic plays into English.</p>"
Plays and Playwrights 2008;Robert Attweiler;9780979485213;Paperback;New York Theatre Experience, Incorporated, The;;;"This anthology contains the following complete plays: THE TELLING TRILOGY by Crystal Skillman<br> A gripping and often chilling full length play that explores the nature of loss, comprising three linked tales of the supernatural. WHAT HAPPENED WHEN by Daniel Talbott Two young men, brothers who have recently been separated, reunite of a night of reminiscence and truth telling. ANTARCTICA by Carolyn Raship<br> In this sometimes surreal fantasia of growing up, Magda and Winnie set out to become the first American Girls to make an expedition to the South Pole. CLEANSED by Thomas Bradshaw An envelope-pushing drama about a biracial teenage girl who joins a white supremacist group. LINNEA by John Regis A young writer who is obsessed by Dostoyevsky lives out his own NYC dream version of The Idiot in this remarkable coming-of-age tale. . . . AND WE ALL WORE LEATHER PANTS by Robert Attenweiler In this wild and pyrotechnically poetic comedy, a Midwestern American family searches for redemption in the world of heavy metal &amp; glam rock. MARVELOUS SHRINE by Leslie Bramm 17-year-old Marvelous isn't sure if he's gay, but he knows he wants to play music. His parents battle over his destiny, and nobody wins in this moving drama. IN OUR NAME by Elena Hartwell A triptych of short, breathtaking one-acts about the ways that the War in Iraq has hit home, especially among American women. UNIVERSAL ROBOTS by Mac Rogers A riveting sci-fi cautionary tale inspired by the lives and works of Czech writer/activists Karel &amp; Josef Capek, especially the play R.U.R. which gave us the word ""robot."" FALL FORWARD by Daniel Reitz A play about choices and figuring out what really matters, originally performed in a MethodistChurch two blocks from the World Trade Center."
Call and Response: The Riverside Anthology of the African American Literary Tradition CD;Patricia Liggins Hill;9780395875094;Multimedia;CENGAGE Learning;;5.00 (w) x 4.90 (h) x 0.20 (d);"<p>More than a decade in the making, <i>Call and Response</i> is a ground-breaking anthology of African American literature, unique in its placing equal emphasis on the written and the oral dimensions of the black aesthetic. It traces the centuries-long emergence of this distinct literary tradition from its earliest roots in African proverbs, folktales, and chants to its latest flowering in the works of such writers as Rita Dove, August Wilson, and Terry McMillan. Here, in 2,000 pages and 550 selections, is (in the words of Richard Wright) the ""long black song"" of African American life, sung in a great choir of voices, from the slaves of the 1600s to the rap artists, orators, novelists, and poets of today.</p> <p>Among the works included are Frederick Douglass's <i>Life ...</i> and Toni Morrison's <i>The Bluest Eyes</i>--both presented complete and unabridged. Here too are hundreds of spirituals and work songs, jazz and blues lyrics, poems, plays, stories, and speeches. An audio CD, produced in conjunction with the Smithsonian Institution, features many of the texts as spoken or sung by their creators.</p>"
U.S. Latino Literature Today;Gabriela Baeza Ventura;9780321198433;Paperback;Longman;352;6.40 (w) x 9.00 (h) x 0.90 (d);<p><b>An anthology of contemporary Latino literature that offers a wide range of literary genres, themes, authors in one volume.</b></p>
